"id","time","DV","outcome"
"53",10,33.6565560074123,"1CMT_IV"
"53",11,29.2972146235059,"1CMT_IV"
"53",12,25.5025138194989,"1CMT_IV"
"53",16,14.6423110176505,"1CMT_IV"
"53",24,4.82683995773856,"1CMT_IV"
"57",0,10.3124393276998,"1CMT_IV"
"57",0.5,9.83376982413552,"1CMT_IV"
"57",1,9.37731858400642,"1CMT_IV"
"57",1.5,8.94205430862649,"1CMT_IV"
"57",2,8.5269935688015,"1CMT_IV"
"57",2.5,8.13119858288475,"1CMT_IV"
"57",3,7.75377509796807,"1CMT_IV"
"57",3.5,7.39387036942102,"1CMT_IV"
"57",4,7.0506712342132,"1CMT_IV"
"57",5,6.41132406148702,"1CMT_IV"
"57",6,5.82995219262828,"1CMT_IV"
"57",7,5.30129849035398,"1CMT_IV"
"57",8,4.82058252885253,"1CMT_IV"
"57",9,4.38345736610779,"1CMT_IV"
"57",10,3.98597023606157,"1CMT_IV"
"57",11,3.62452680516799,"1CMT_IV"
"57",12,3.29585867012439,"1CMT_IV"
"57",16,2.25339661927121,"1CMT_IV"
"57",24,1.05335740926556,"1CMT_IV"
"61",0,11.2558858145994,"1CMT_IV"
"61",0.5,10.798398403926,"1CMT_IV"
"61",1,10.3595052411308,"1CMT_IV"
"61",1.5,9.93845057633705,"1CMT_IV"
"61",2,9.53450937658033,"1CMT_IV"
"61",2.5,9.14698607734116,"1CMT_IV"
"61",3,8.77521338482142,"1CMT_IV"
"61",3.5,8.41855112690109,"1CMT_IV"
"61",4,8.07638515079709,"1CMT_IV"
"61",5,7.43320922734954,"1CMT_IV"
"61",6,6.84125365320167,"1CMT_IV"
"61",7,6.29643941344211,"1CMT_IV"
"61",8,5.79501233207359,"1CMT_IV"
"61",9,5.33351720294351,"1CMT_IV"
"61",10,4.90877398079937,"1CMT_IV"
"61",11,4.51785586840792,"1CMT_IV"
"61",12,4.15806914874171,"1CMT_IV"
"61",16,2.98352066483541,"1CMT_IV"
"61",24,1.53604428212058,"1CMT_IV"
"67",0,6.75314414307599,"1CMT_IV"
"67",0.5,6.57131888387694,"1CMT_IV"
"67",1,6.39438918505426,"1CMT_IV"
