id,outcome,t0,t1,t2,t4,t6,t8,t12,t24
1959,2CMT_IV,1,0.726682776097841,0.32374810517373,0.310928959069732,0.0566357572468843,0.205524837495564,0.0563393514751228,0
1960,2CMT_IV,1,0.813542122705771,0.513151491087548,0.240577813888291,0.115500296537193,0.101756198426154,0.0131634844308878,0
1961,2CMT_IV,1,0.503195161331298,0.345644066931759,0.226744280597529,0.0464662728531929,0.0365661821798737,0.00505206944510732,0
1963,2CMT_IV,1,0.71546195355683,0.389138084184308,0.164268329156034,0.0476465482237071,0.0403907799208122,0.0289343304476642,0
1964,2CMT_IV,1,0.935398657155378,0.514325888979434,0.222894203079734,0.056155903876996,0.0185721811800823,0,0.00946369429003316
1965,2CMT_IV,1,0.738290037459423,0.641270691361109,0.347946082433315,0.340246489065233,0.190395988202993,0.0676670422762329,0
1968,2CMT_IV,1,0.948777783911877,0.79012338941473,0.39359310847067,0.487888315007975,0.29887942800528,0.193280879950661,0
1974,2CMT_IV,0.959449195019634,1,0.583295080289784,0.375734748465007,0.27399840749326,0.156313614831884,0.0140332853395121,0
1975,2CMT_IV,1,0.529151303969545,0.491474176496595,0.371088839886375,0.230274087061291,0.156696835146487,0.0348162096991142,0
1979,2CMT_IV,1,0.593219812749509,0.222330739634153,0.114487819836711,0.0458749699725629,0.0090575147383448,0.000913949356014947,0
1980,2CMT_IV,0.804226442368107,1,0.36664377135642,0.27793277316827,0.198755743103414,0.0618553846792623,0.061008411552998,0
1983,2CMT_IV,1,0.502607647727934,0.392787244969224,0.0895195988261295,0.0558971346964044,0.032739435732071,0,0.00581777665466722
1985,2CMT_IV,0.936576660318707,1,0.542862810495063,0.208920456633772,0.0750300025120138,0.0235691327182478,0.034003634636606,0
1991,2CMT_IV,1,0.594598466810736,0.526774281568191,0.240072539346654,0.0892395636030856,0.0392262468222731,0.0620722722081809,0
1992,2CMT_IV,1,0.648328894073642,0.685878325448957,0.212077408689593,0.21037921855499,0.136036330695636,0.0996936299925347,0
1993,2CMT_IV,0.976857971608972,1,0.397687497242782,0.313137385523537,0.250750859264591,0.137407233116414,0.0256937679029074,0
1994,2CMT_IV,1,0.700029785241693,0.71429621670625,0.504119504388765,0.292234738327687,0.20851158211092,0.0646562216952629,0
1995,2CMT_IV,1,0.478778131241189,0.290179617176936,0.0830516160251973,0.014543091689788,0.00777745198750587,0.00242452345009408,0
1996,2CMT_IV,1,0.563485889700202,0.561722388071032,0.604358938828508,0.300448682259268,0.195662507267641,0.0941520948740164,0
3,1CMT_OA,0,0.478515780729873,1,0.812816866927205,0.672259165430685,0.494333494327384,0.551944066506307,0.0577690072515521
5,1CMT_OA,0,0.725659053312675,1,0.564646485891984,0.218266290134624,0.118305552068593,0.016707646168075,7.20020095312949e-05
8,1CMT_OA,0,0.438431250410351,0.601853300797786,0.880004872826397,0.944008106943069,1,0.904346810990302,0.191822157973201
9,1CMT_OA,0,0.76837204944483,0.983822564171888,1,0.580457875990576,0.444353949877625,0.119871593360287,0.00574280720203752
13,1CMT_OA,0,0.692358810758318,0.911514237845136,1,0.535953744870234,0.438993201667603,0.138973180191712,0.00368293629300624
15,1CMT_OA,0,1,0.877466282980175,0.540531836080625,0.250255327800837,0.153491827499316,0.0548085447829692,0.00126955973668472
20,1CMT_OA,0,0.259620555619892,0.591710208164714,0.78535285724362,0.871650589184797,1,0.438189047671354,0.117913639908402
23,1CMT_OA,0,0.642564085133069,0.475383048208977,0.76378818680616,1,0.623041295664964,0.445072049532259,0.145578069360821
25,1CMT_OA,0,0.341584596274506,0.744977938376209,0.761929463433171,0.888368442518397,1,0.90427411199571,0.187841712837782
